Serial Number	Cathode Luminous Sens. (µA/lm)	Anode Luminous Sens. (A/lm)	Anode Dark Current (nA)	Cathode Blue Sens. Index	Supply Voltage 2.105 (V)	Supply Voltage 106 (V)	P/V	T.T.S (ns)	Dark Counts (s-1)
408	109	17.4	2.5	13.6	1300	1770	2.46	2.243	4700
409	110	12.7	0.9	13.3	1390	1910	3.08	2.144	7300
411	110	19.7	1.3	13	1270	1730	2.7	2.137	5500
412	128	30.2	4.7	14.1	1220	1630	2.6	2.198	8100
413	108	19.8	0.99	13	1270	1720	2.91	2.297	3700
414	98	18.9	0.51	12.7	1250	1690	2.88	2.088	3500
415	135	31.8	4.5	14.2	1220	1630	2.11	2.411	9700
416	130	29.5	1.6	14.5	1220	1640	2.64	2.369	8500
418	113	19.7	1	13.6	1280	1740	2.63	2.146	6300
419	106	17.4	1.1	13	1290	1760	2.89	2.292	5300
420	97	12.5	0.53	13.3	1360	1870	2.63	2.064	1200
423	97	13.6	1	13.1	1340	1840	2.5	2.47	1400
426	103	19	0.61	13.2	1260	1720	2.88	2.227	2500
429	102	23.7	27	12.9	1210	1650	3	2.224	2000
432	108	21.9	1.4	13.2	1250	1680	2.73	2.329	5000
433	90	11.1	0.23	12.5	1370	1870	2.63	2.491	2000
435	107	19.7	1	13.5	1260	1720	2.8	2.207	2800
436	108	18.1	29	13.5	1290	1750	2.33	2.323	5700
438	94	14.2	0.71	12.7	1320	1800	3	2.276	2600
441	110	19.3	28	13.3	1280	1750	2.55	2.293	4300
442	107	18.6	0.99	12.9	1270	1740	2.25	2.185	5000
444	108	21.2	1.4	13.6	1250	1690	3.25	2.623	7600
446	98	20.8	1.1	13.5	1240	1680	2.36	2.325	2100
447	121	13.1	2.5	14.5	1410	1960	2.24	2.313	7500
448	112	20.4	1	14.1	1260	1720	2.73	2.124	3200
449	96	18.3	0.67	12.5	1250	1710	3.11	2.282	3700
450	116	25	2.4	14.5	1240	1660	2.5	2.262	3900
451	108	19.5	1.6	14	1270	1730	3.1	2.327	5500
453	100	19.4	0.6	13.5	1250	1700	2.67	2.199	1400
454	109	18.5	1.1	14.3	1280	1750	2.6	2.218	2300
456	102	20.5	1.4	13.7	1250	1690	2.8	2.223	2600
457	105	21.7	0.85	14.3	1240	1680	2.7	2.208	2000
459	115	22.5	2	15.1	1250	1710	3.11	2.383	1600
460	118	23	1.6	15	1250	1700	2.75	2.367	4400
461	114	35.2	2.7	14.7	1160	1550	2.7	2.537	3700
462	102	21	1.6	14.2	1240	1680	2.91	2.285	1700
463	118	18.9	0.81	15	1300	1780	2.27	2.346	5100
464	111	26.1	1.8	14.7	1220	1640	2.91	2.4	3000
465	113	16.5	2.1	14.1	1320	1810	3.18	2.356	5200
467	107	16.9	1.4	23.9	1310	1800	3	2.408	5800
469	107	25.6	1.4	13.4	1210	1640	3.4	2.386	3500
470	106	21.6	0.56	13.9	1250	1690	2.31	2.327	2900
472	88	17.6	26	13.2	1250	1700	2.63	2.191	1600
473	118	32.1	2.3	15.1	1180	1600	3.38	2.275	5100
474	106	23.7	2.2	14	1230	1650	3.22	2.28	4600
475	99	21.2	39	13.5	1240	1680	3.33	2.184	2800
476	110	29.1	2	14.5	1190	1610	3.13	2.291	4200
477	116	25.6	0.87	14.6	1230	1660	3	2.35	3900
479	124	14.5	1.1	14.2	1380	1930	2.39	2.204	8300
480	125	26.1	1.2	15.6	1240	1690	2.7	2.387	5100
481	100	20.3	0.8	13.5	1250	1700	3.38	2.313	2400
482	113	20.3	1.3	13.9	1270	1720	2.9	2.188	7300
485	86	15	0.51	12.8	1280	1750	3.25	2.572	2100
486	100	20.1	0.92	13.5	1250	1700	3.45	2.603	4400
487	76	7.6	0.3	12.5	1430	2000	2.8	2.107	4200
488	95	14.7	0.51	13.2	1320	1800	3.57	2.303	4700
489	150	39.5	5.3	15.9	1190	1610	2.92	2.307	9400
490	90	17.2	1.7	13.2	1250	1740	3.14	2.151	1800
491	98	22.9	3.2	13	1220	1650	2.55	2.494	4000
492	90	15.5	1	12.6	1280	1740	3	2.503	2500
493	112	26.4	2.1	14.2	1220	1650	3	2.335	3600
494	117	27.2	3.5	14.9	1220	1650	2.89	2.206	2400
495	114	27.5	2.8	14.7	1210	1650	3.22	2.345	3200
496	96	15.4	0.67	13.8	1300	1780	2.67	2.246	3300
497	113	23	1.4	14.4	1250	1690	2.45	2.45	5600
498	108	18.7	0.73	14.4	1280	1750	2.5	2.364	3600
499	101	19.5	0.94	13.8	1250	1720	2.78	2.214	5100
500	110	23.6	0.98	13.9	1230	1680	2.89	2.218	3800
501	108	16	0.8	13.7	1320	1820	2.55	2.346	4900
502	98	15	0.32	13.5	1310	1800	2.7	2.224	1700
503	98	14.6	8	13.7	1320	1820	2.75	2.239	4200
505	101	13.6	9.7	13.2	1350	1850	2.89	2.24	2700
507	97	14.8	1.9	13.2	1320	1800	3	2.287	5300
508	105	13.9	0.8	13.3	1350	1860	2.58	2.488	3100
509	104	18.7	0.98	13.7	1270	1740	2.44	2.532	2100
510	104	16.7	2.5	13	1300	1780	2.89	2.56	2900
511	117	28.6	4.2	14.2	1210	1640	3	2.512	2800
512	132	39.7	6.6	14.3	1160	1560	3.27	2.397	5900
